ARA homolog	Log FC
AT1G32640	-1.03
AT1G32740	1.28
AT1G32860	-1.23
AT1G32900	-1.00
AT1G32900	-2.72
AT1G32990	-1.14
AT1G33120	1.18
AT1G33260	1.11
AT1G33420	1.28
AT1G33430	-1.35
AT1G33540	-1.24
AT1G33670	1.99
AT1G33811	-2.66
AT1G34190	1.00
AT1G34300	1.81
AT1G34355	-2.13
AT1G34355	-2.38
AT1G34420	2.56
AT1G34750	1.72
AT1G34750	1.30
AT1G35510	-1.29
AT1G35710	1.97
AT1G35710	1.38
AT1G35710	1.13
AT1G35830	1.79
AT1G37130	3.46
AT1G37130	3.05
AT1G42470	-1.22
AT1G42550	-1.05
AT1G42970	-1.10
AT1G42970	-1.22
AT1G43000	1.07
AT1G43620	1.83
AT1G43670	-1.01
AT1G43710	1.65
AT1G43710	1.38
AT1G43710	-1.20
AT1G43710	-1.77
AT1G43710	-1.88
AT1G43790	-2.05
AT1G44110	-2.75
AT1G44130	1.65
AT1G44350	-1.37
AT1G44350	-1.47
AT1G44350	-1.62
AT1G44750	1.89
AT1G44760	-2.07
AT1G45207	-1.35
AT1G45332	1.13
AT1G45616	2.50
AT1G46264	-1.04
AT1G46480	-2.59
AT1G47128	1.38
AT1G47210	-1.13
AT1G47480	1.43
AT1G47530	-1.38
AT1G47670	4.45
AT1G47670	3.93
AT1G47670	2.66
AT1G47670	1.38
AT1G47740	-2.27
AT1G47840	-1.48
AT1G48100	-2.71
AT1G48480	-1.56
AT1G48480	-1.98
AT1G48910	-1.79
AT1G49320	-6.15
AT1G49430	-1.80
AT1G49780	1.61
AT1G49780	1.58
AT1G49870	-2.21
AT1G49890	-1.42
AT1G49975	-1.54
AT1G50010	-1.10
AT1G50010	-1.53
AT1G50010	-1.67
AT1G50010	-3.04
AT1G50240	-1.84
AT1G50600	1.16
AT1G50900	-1.02
AT1G50920	1.76
AT1G50920	1.34
AT1G51080	-1.21
AT1G51100	-1.11
AT1G51110	-1.51
AT1G51140	-2.04
AT1G51400	-1.00
AT1G51400	-1.14
AT1G51410	2.29
AT1G51410	1.80
AT1G51560	1.00
AT1G51880	3.19
AT1G52190	-1.27
AT1G52340	-5.19
AT1G52720	-1.03
AT1G52720	-1.49
AT1G52770	-1.36
AT1G53090	2.24
AT1G53140	-1.68
AT1G53140	-2.05
AT1G53210	-1.36
AT1G53230	-1.17
AT1G53300	-1.00
AT1G53300	-1.89
AT1G53310	-1.58
AT1G53310	-1.59
AT1G53310	-1.70
AT1G53380	-1.06
AT1G53390	2.67
AT1G53430	1.15
AT1G53440	2.13
AT1G53520	-1.97
AT1G53540	-1.00
AT1G53820	1.73
AT1G53990	1.08
AT1G54050	-1.03
AT1G54115	-2.11
AT1G54385	-2.38
AT1G54460	-1.12
AT1G54610	-1.12
AT1G54730	1.15
AT1G54730	-2.79
AT1G54780	-1.51
AT1G54790	-1.35
AT1G54820	-1.16
AT1G54870	-1.21
AT1G55040	1.20
AT1G55270	1.19
AT1G55320	1.12
AT1G55320	1.09
AT1G55370	-1.21
AT1G55670	-1.33
AT1G55900	1.77
AT1G55915	1.90
AT1G56110	1.39
AT1G56300	-1.12
AT1G56580	-1.20
AT1G56700	1.15
AT1G56710	1.53
AT1G57590	-1.05
AT1G57770	-1.06
AT1G57820	-2.08
AT1G58080	-1.29
AT1G58170	-2.63
AT1G58340	1.45
AT1G58360	-1.04
AT1G58470	1.23
AT1G59030	-1.35
AT1G59540	-2.13
AT1G59710	1.24
AT1G60010	-2.00
AT1G60030	-1.07
AT1G60050	-1.32
AT1G60160	-1.86
AT1G60190	-1.03
AT1G60420	-1.00
AT1G60420	-1.19
AT1G60500	1.11
AT1G60500	1.02
AT1G60550	-1.32
AT1G60620	1.08
AT1G60640	1.43
AT1G60690	-1.39
AT1G60710	6.23
AT1G60710	5.18
AT1G60710	2.24
AT1G60710	1.89
AT1G60810	-2.68
AT1G60810	-2.78
AT1G60900	1.41
AT1G60950	-1.13
